AZ-400 - Answer Key (559 questions)
Format: Topic.Question | Community | Kiro
==================================================

T1 Q1   | community: C     | Kiro: C
T1 Q2   | community: B     | Kiro: B
T1 Q3   | community: D     | Kiro: D
T1 Q4   | community: B     | Kiro: B
T1 Q5   | community: B     | Kiro: B
T1 Q6   | community: -     | Kiro: -
T1 Q7   | community: D     | Kiro: D
T1 Q8   | community: B     | Kiro: B
T1 Q9   | community: B     | Kiro: B
T1 Q10  | community: A     | Kiro: A
T1 Q11  | community: B     | Kiro: B
T1 Q12  | community: D     | Kiro: D
T1 Q13  | community: D     | Kiro: D
T1 Q14  | community: D     | Kiro: D
T1 Q15  | community: C     | Kiro: C
T1 Q16  | community: A     | Kiro: A
T1 Q17  | community: C     | Kiro: C
T1 Q18  | community: C     | Kiro: C
T1 Q19  | community: -     | Kiro: -
T1 Q20  | community: B     | Kiro: B
T1 Q21  | community: C     | Kiro: C
T1 Q22  | community: A     | Kiro: A
T1 Q23  | community: A     | Kiro: A
T1 Q24  | community: AB    | Kiro: BC
T1 Q25  | community: D     | Kiro: D
T1 Q26  | community: B     | Kiro: B
T1 Q27  | community: B     | Kiro: B
T1 Q28  | community: B     | Kiro: B
T1 Q29  | community: B     | Kiro: A
T1 Q30  | community: -     | Kiro: -
T1 Q31  | community: A     | Kiro: A
T2 Q1   | community: -     | Kiro: -
T2 Q2   | community: -     | Kiro: -
T2 Q3   | community: AB    | Kiro: AB
T2 Q4   | community: -     | Kiro: -
T2 Q5   | community: B     | Kiro: B
T2 Q6   | community: A     | Kiro: A
T2 Q7   | community: -     | Kiro: -
T2 Q8   | community: C     | Kiro: C
T2 Q9   | community: -     | Kiro: -
T2 Q10  | community: A     | Kiro: A
T2 Q11  | community: AE    | Kiro: AE
T2 Q12  | community: -     | Kiro: -
T2 Q13  | community: B     | Kiro: B
T2 Q14  | community: CDE   | Kiro: CDE
T2 Q15  | community: -     | Kiro: -
T2 Q16  | community: -     | Kiro: -
T2 Q17  | community: -     | Kiro: -
T2 Q18  | community: -     | Kiro: -
T2 Q19  | community: -     | Kiro: -
T2 Q20  | community: D     | Kiro: D
T2 Q21  | community: -     | Kiro: -
T2 Q22  | community: C     | Kiro: C
T2 Q23  | community: C     | Kiro: C
T2 Q24  | community: B     | Kiro: A
T2 Q25  | community: A     | Kiro: A
T2 Q26  | community: A     | Kiro: A
T2 Q27  | community: -     | Kiro: -
T2 Q28  | community: A     | Kiro: A
T2 Q29  | community: -     | Kiro: -
T2 Q30  | community: D     | Kiro: D
T2 Q31  | community: C     | Kiro: C
T2 Q32  | community: -     | Kiro: -
T2 Q33  | community: -     | Kiro: -
T2 Q34  | community: DE    | Kiro: DE
T2 Q35  | community: B     | Kiro: B
T2 Q36  | community: -     | Kiro: -
T2 Q37  | community: -     | Kiro: -
T2 Q38  | community: C     | Kiro: A
T2 Q39  | community: -     | Kiro: -
T2 Q40  | community: -     | Kiro: -
T2 Q41  | community: -     | Kiro: -
T2 Q42  | community: AD    | Kiro: AD
T2 Q43  | community: A     | Kiro: A
T2 Q44  | community: -     | Kiro: -
T2 Q45  | community: -     | Kiro: -
T2 Q46  | community: D     | Kiro: D
